Price,Close,High,Low,Open,Volume
Ticker,TM,TM,TM,TM,TM
Date,,,,,
2016-03-08,102.30279541015625,103.15354365469929,102.10944588324563,102.97952613015508,459500
2016-03-09,102.71849822998047,103.35656491231612,102.28345812897801,103.3082238451775,201900
2016-03-10,103.52091217041016,105.35776207441448,102.63149259611289,105.14507318147139,644900
2016-03-11,105.62845611572266,105.64778811730882,104.932386045639,105.04840018259007,216700
2016-03-14,105.3287582397461,105.85081080949368,105.19341209675356,105.61878990376529,251500
2016-03-15,103.65626525878906,103.84961478762621,102.91185408356142,103.83995247425256,404400
2016-03-16,103.96562957763672,104.18798079960247,102.5734893587452,102.93119410271366,343000
2016-03-17,104.34266662597656,104.87438889884386,102.90219270831582,103.3372328400714,354700
2016-03-18,103.05686950683594,103.37590286637464,102.283464018762,102.74750583644402,615500
2016-03-21,103.57891845703125,103.85928042597833,102.87318606607087,102.87318606607087,442100
2016-03-22,104.99039459228516,105.6864646966191,104.17831772110337,104.51668308409577,318600
2016-03-23,104.50701141357422,105.36742933850444,104.50701141357422,104.87438583712526,291100
2016-03-24,102.78617095947266,102.85384402775676,102.2351167246418,102.85384402775676,399800
2016-03-28,105.07740020751953,105.46409923960495,104.49733690776891,104.89371300421108,450500
2016-03-29,106.72731018066406,106.79626153504586,105.73243419732616,106.38255340875509,345900
2016-03-30,105.9885482788086,106.4810601272372,105.84079322125314,106.38255926057836,323500
2016-03-31,104.72771453857422,105.16112735095324,104.53071281392963,104.81637057525815,384500
2016-04-01,101.98934936523438,102.47200884827784,101.46728803447432,101.92039801051388,531800
2016-04-04,99.8616943359375,100.34436133245521,99.39873953591135,100.13750726900504,993600
2016-04-05,97.26123809814453,98.06895723207383,96.64067587218214,96.75888142170878,1156400
2016-04-06,98.01970672607422,98.12805993012287,96.90662517814421,97.41884169094408,492300
2016-04-07,96.79827117919922,97.7635976668508,96.33531637449704,97.72419581887175,547600
2016-04-08,99.1524887084961,99.58589402384094,98.89638044365525,99.19188304296294,517100
2016-04-11,96.95587921142578,97.60599091953837,96.82782884099876,97.05438007445689,990300
2016-04-12,100.05870819091797,100.44286682864247,99.5070898144632,99.71395140259271,523400
2016-04-13,102.69857025146484,102.74781692603443,101.94009781477786,102.20605841496366,628900
2016-04-14,103.3880844116211,103.81164489405553,103.22063218987904,103.4274862605841,406500
2016-04-15,102.12725830078125,102.94482978169117,101.94010139150117,102.94482978169117,399300
2016-04-18,101.81204986572266,101.98935443168806,100.47241703734727,100.47241703734727,303000
2016-04-19,103.13197326660156,103.80178964997107,102.88571735382062,103.52598423007787,252000
2016-04-20,103.27973175048828,103.75254642540382,102.60007051891098,103.15168137703385,261300
2016-04-21,103.86090087890625,104.27460902746583,103.67374397188122,103.95940174544886,310500
2016-04-22,105.84078979492188,105.95899534016652,105.07247253866711,105.35813030332437,473700
2016-04-25,105.73243713378906,106.29390784023516,105.1020225861804,105.90974169499988,307000
2016-04-26,105.71273803710938,105.8210912400453,105.1611271968058,105.74228754424934,252500
2016-04-27,104.77696990966797,105.04292299245276,103.92984895689544,104.16625253216348,271100
2016-04-28,101.41803741455078,103.09258218332273,101.27028235919822,102.06815665204837,740300
2016-04-29,100.1769027709961,101.22103295624964,99.90109734984259,101.15208160096127,496300
2016-05-02,100.93537902832031,101.19148729274856,100.43301484063184,100.98462570389174,336900
2016-05-03,99.93064880371094,100.39361113329447,99.09338018314686,100.14735521459124,315000
2016-05-04,99.11308288574219,100.15720555534881,99.08352586337533,100.15720555534881,350500
2016-05-05,99.75334167480469,99.930646232314,99.16232898815164,99.74349684920654,377200
2016-05-06,100.43301391601562,100.55121946354066,99.68439381195894,100.05870762155443,283100
2016-05-09,101.07328033447266,102.08785352173307,100.79747490668935,101.9105489588532,360200
